4.31069,3.72917,1.18677
4.31069,3.72917,1.19027
4.31069,3.72917,1.17162
4.31068,3.72917,1.17157
4.31067,3.72917,1.15257
4.31067,3.72916,1.17293
4.31066,3.72916,1.16669
4.31065,3.72916,1.17686
4.31064,3.72916,1.16909
4.31063,3.72916,1.18623
4.31062,3.72916,1.18053
4.31061,3.72916,1.17513
4.3106,3.72915,1.18014
4.31059,3.72915,1.18784
4.31037,3.72911,1.18784
4.31035,3.72911,1.1674
4.31033,3.72911,1.17101
4.31031,3.7291,1.17898
4.31029,3.7291,1.17898
4.31026,3.7291,1.17898
4.31024,3.72909,1.17898
4.31021,3.72909,1.16985
4.31019,3.72908,1.17814
4.31016,3.72908,1.1882
4.31014,3.72907,1.1882
4.31011,3.72907,1.1882
4.31008,3.72907,1.1882
4.31005,3.72906,1.18083
4.31002,3.72905,1.18945
4.30999,3.72905,1.15661
4.30995,3.72904,1.15661
4.30991,3.72904,1.15661
4.30986,3.72903,1.15661
4.30982,3.72902,1.16214
4.30978,3.72901,1.18797
4.30975,3.72901,1.19479
4.30969,3.729,1.19479
4.30965,3.72899,1.19479
4.3096,3.72898,1.19479
4.30956,3.72898,1.18221
4.30952,3.72897,1.18481
4.30947,3.72896,1.19485
4.30943,3.72895,1.19485
4.30938,3.72895,1.19485
4.30934,3.72894,1.19485
4.30931,3.72893,1.16529
4.30928,3.72893,1.18671
4.30924,3.72892,1.16936
4.30921,3.72892,1.16936
4.30916,3.72891,1.16936
4.30903,3.72889,1.16936
4.30899,3.72888,1.17527
4.30895,3.72887,1.1793
4.30889,3.72886,1.1793
4.30884,3.72886,1.1793
4.30879,3.72885,1.1793
4.30874,3.72884,1.16595
4.30868,3.72883,1.18342
4.30861,3.72882,1.19326
4.30854,3.72881,1.19326
4.30849,3.7288,1.19326
4.30842,3.72879,1.19326
4.30837,3.72878,1.17891
4.30831,3.72877,1.16586
4.30825,3.72876,1.19512
4.3082,3.72875,1.19512
4.30815,3.72874,1.19512
4.3081,3.72873,1.19512
4.30805,3.72872,1.18151
4.308,3.72871,1.17704
4.30794,3.7287,1.19467
4.30784,3.72869,1.19467
4.30778,3.72868,1.19467
4.30771,3.72867,1.19467
4.30764,3.72865,1.18571
4.30758,3.72864,1.18033
4.30751,3.72863,1.18278
4.30746,3.72862,1.18278
4.30741,3.72862,1.18278
4.3073,3.7286,1.18278
4.30724,3.72859,1.16676
4.30718,3.72858,1.17432
4.30712,3.72857,1.17432
4.30703,3.72855,1.17432
4.30682,3.72852,1.17432
4.30672,3.7285,1.19135
4.30663,3.72849,1.16004
4.30655,3.72847,1.17767
4.30629,3.72843,1.17767
4.3061,3.7284,1.17767
4.30602,3.72838,1.17273
4.30594,3.72837,1.16523
4.30587,3.72836,1.16523
4.3058,3.72835,1.16523
4.30573,3.72834,1.16523
4.30562,3.72832,1.2001
4.3055,3.7283,1.18606
4.3054,3.72828,1.18301
4.30533,3.72827,1.18301
4.30527,3.72826,1.18301
4.30521,3.72825,1.18301
4.30515,3.72824,1.18301
4.30509,3.72823,1.1869
4.30503,3.72822,1.15955
4.30496,3.72821,1.15955
4.30489,3.7282,1.15955
4.3048,3.72818,1.15955
4.30471,3.72817,1.18377
4.30465,3.72816,1.18638
4.30443,3.72812,1.15634
4.30434,3.72811,1.15634
4.30427,3.7281,1.15634
4.30421,3.72809,1.1736
4.30392,3.72804,1.17797
4.3038,3.72802,1.16641
4.30371,3.72801,1.18738
4.30362,3.72799,1.18738
4.30354,3.72798,1.18738
4.30346,3.72797,1.18738
4.30339,3.72795,1.18738
4.30329,3.72794,1.17933
4.30316,3.72792,1.19178
4.30306,3.7279,1.19178
4.30296,3.72789,1.19178
4.30288,3.72787,1.19178
4.30277,3.72786,1.16277
4.30269,3.72784,1.17093
4.30259,3.72783,1.17959
4.30242,3.7278,1.17959
4.30235,3.72779,1.17959
4.30226,3.72777,1.194
4.30216,3.72776,1.17127
4.30209,3.72775,1.16542
4.302,3.72773,1.16542
4.30193,3.72772,1.16542
4.30186,3.72771,1.16542
4.30173,3.72769,1.17885
4.30159,3.72767,1.16906
4.30149,3.72765,1.16565
4.30138,3.72763,1.16565
4.30131,3.72762,1.16565
4.30122,3.72761,1.16565
4.30109,3.72759,1.18103
4.30097,3.72757,1.18656
4.30087,3.72755,1.1883
4.30077,3.72754,1.1883
4.30069,3.72752,1.1883
4.30047,3.72749,1.1883
4.2998,3.72738,1.1883
4.29968,3.72737,1.17661
4.29957,3.72735,1.16937
4.29948,3.72733,1.16937
4.29938,3.72732,1.16937
4.29927,3.7273,1.16937
4.29917,3.72729,1.18526
4.29902,3.72726,1.18366
4.29889,3.72724,1.17975
4.29879,3.72723,1.18401
4.29869,3.72721,1.17553
4.29854,3.72719,1.18292
4.29841,3.72717,1.18652
4.2983,3.72715,1.18186
4.2982,3.72714,1.1946
4.29811,3.72712,1.17426
4.29799,3.7271,1.17807
4.29787,3.72708,1.1907
4.2977,3.72706,1.18773
4.29756,3.72704,1.19292
4.29747,3.72702,1.17362
4.29736,3.72701,1.1957
4.29726,3.72699,1.19081
4.29714,3.72697,1.17655
4.29701,3.72695,1.17655
4.29688,3.72693,1.17655
4.29673,3.72691,1.17655
4.29663,3.72689,1.17655
4.29653,3.72688,1.17655
4.29644,3.72687,1.17655
4.29635,3.72685,1.17655
4.29616,3.72682,1.17967
4.29579,3.72677,1.18377
4.2957,3.72675,1.18997
4.29559,3.72674,1.18997
4.29546,3.72672,1.18997
4.29532,3.7267,1.18997
4.29516,3.72667,1.18997
4.295,3.72665,1.18997
4.29484,3.72662,1.18997
4.29463,3.72659,1.18997
4.29451,3.72658,1.18421
4.29439,3.72656,1.1872
4.29425,3.72654,1.16257
4.29412,3.72652,1.16257
4.29401,3.7265,1.16257
4.2939,3.72649,1.16257
